"npo.name" "p.tp" "raw.tp" "n.item"
"npo1970" "財團法人林業生社會福利慈善事業基金會" 57.31 4.08684939886798 24
"npo2035" "財團法人台灣肯納自閉症基金會" 57.31 4.08684939886798 24
"npo2051" "財團法人桃園市私立菩提之家" 57.31 4.08684939886798 24
"npo2055" "台灣防暴聯盟" 57.31 4.08684939886798 24
"npo2084" "桃園縣愛與祥和公益聯盟總會" 57.31 4.08684939886798 24
"npo2279" "財團法人瑪利亞社會福利基金會" 57.31 4.08684939886798 24
"npo2297" "花蓮縣谷若思全人關懷協會" 57.31 4.08684939886798 24
"npo2306" "高雄市身心障礙團體聯合總會" 57.31 4.08684939886798 24
"npo2350" "財團法人台北市脊髓損傷社會福利基金會" 57.31 4.08684939886798 24
"npo2385" "財團法人育田社會福利慈善基金會" 57.31 4.08684939886798 24
"npo2403" "財團法人台灣省私立台灣盲人重建院" 57.31 4.08684939886798 24
"npo2428" "財團法人介惠社會福利慈善基金會" 57.31 4.08684939886798 24
"npo2445" "中華救助總會" 57.31 4.08684939886798 24
"npo2534" "財團法人台灣國際奧比斯防盲救盲基金會" 57.31 4.08684939886798 24
"npo0302" "財團法人聖島社會福利慈善基金會" 57.24 4.08139565015585 23
"npo0338" "財團法人屏東縣私立畢嘉士社會福利基金會" 57.24 4.08139565015585 23
"npo0609" "財團法人台北市自閉兒社會福利基金會" 57.24 4.08139565015585 23
"npo0779" "財團法人台灣紅絲帶基金會" 57.24 4.08139565015585 23
"npo0808" "中華民國身心障礙聯盟(原殘聯)" 57.24 4.08139565015585 23
"npo1409" "社團法人臺南市以琳之家關懷協會" 57.24 4.08139565015585 23
"npo2071" "財團法人桃園市真善美社會福利基金會" 57.24 4.08139565015585 23
"npo2481" "財團法人台北市私立愛愛院" 57.24 4.08139565015585 23
"npo2447" "財團法人彰化縣私立秀和慈善事業基金會" 56.91 4.0578242174403 22
"npo2007" "愛家文化事業基金會" 54.49 3.88567652521709 18
"npo0156" "財團法人桃園縣私立寶貝潛能發展中心" 54.3 3.87204890584239 23
"npo1538" "台北市私立勝利身心障礙潛能發展中心" 54.3 3.87204890584239 23
"npo1126" "桃園市私立安康啟智教養院" 54.23 3.86659515713026 22
"npo2195" "中華民國智障者家長總會" 53.01 3.77981070310194 22
"npo1893" "中華民國保護動物協會" 52.32 3.73039726149724 21
"npo0829" "紙風車文教基金會" 51.79 3.69267438834629 20
"npo1474" "希望基金會" 51.79 3.69267438834629 20
"npo0024" "平安社會福利慈善事業基金會" 51.46 3.66910295563073 19
"npo0089" "台灣彩虹原住民關懷協會" 51.02 3.63815905875679 20
"npo0015" "世華聯合商業銀行文化慈善基金會" 43.88 3.12888603547737 20
"npo0334" "台南市樂扶社會福利慈善事業基金會" 41.4 2.95212499201573 18
"npo0406" "中華民國紅十字會總會" 41.4 2.95212499201573 18
"npo1700" "財團法人台南市私立朝興社會福利慈善事業基金會" 41.4 2.95212499201573 18
"npo0814" "西田社布袋戲基金會" 38.81 2.76729672580749 14
"npo2211" "財團法人天主教會台中教區附設台中市私立慈愛智能發展中心" 38.39 2.73732449899014 17
"npo2423" "天主教中華聖母社會福利慈善事業基金會" 38.39 2.73732449899014 17
"npo1560" "財團法人中華民國唐氏症基金會" 37.09 2.64508629624969 16
"npo0007" "董氏基金會" 26.72 1.90504969493162 22
"npo0009" "愛心第二春文教基金會" 26.72 1.90504969493162 22
"npo0011" "社團法人新北市光點兒童重症扶助協會" 26.72 1.90504969493162 22
"npo0020" "社團法人臺中市又望早期療育專業發展服務協會" 26.72 1.90504969493162 22
"npo0021" "歐巴尼紀念基金會" 26.72 1.90504969493162 22
"npo0030" "高雄市晚晴婦女協會" 26.72 1.90504969493162 22
"npo0035" "財團法人陳天信文教基金會" 26.72 1.90504969493162 22
"npo0036" "社團法人台南市婦女會" 26.72 1.90504969493162 22
"npo0037" "切膚之愛社會福利慈善事業基金會" 26.72 1.90504969493162 22
"npo0038" "財團法人信望愛臍帶血基金會" 26.72 1.90504969493162 22
"npo0053" "財團法人中嶺山內心教育基金會" 26.72 1.90504969493162 22
"npo0062" "社團法人澎湖康復之友協會" 26.72 1.90504969493162 22
"npo0064" "恆安老人長期照顧中心受託經營臺北市陽明老人公寓" 26.72 1.90504969493162 22
"npo0067" "社團法人台灣希望之芽協會" 26.72 1.90504969493162 22
"npo0068" "社團法人雲林縣老人長期照護協會" 26.72 1.90504969493162 22
"npo0069" "財團法人新北市私立明新兒童發展中心" 26.72 1.90504969493162 22
"npo0075" "財團法人天主教主顧修女會" 26.72 1.90504969493162 22
"npo0077" "社團法人台中市慈宥關懷協會" 26.72 1.90504969493162 22
"npo0081" "財團法人萬妙教育基金會" 26.72 1.90504969493162 22
"npo0091" "社團法人台中市亞斯伯格症肯納症協進會" 26.72 1.90504969493162 22
"npo0092" "社團法人雲林縣聲暉協進會" 26.72 1.90504969493162 22
"npo0094" "財團法人耕心蓮苑教育基金會" 26.72 1.90504969493162 22
"npo0095" "財團法人台北市政府教育局認助清寒學生基金會" 26.72 1.90504969493162 22
"npo0102" "財團法人永達社會福利基金會" 26.72 1.90504969493162 22
"npo0109" "財團法人青年和平團" 26.72 1.90504969493162 22
"npo0112" "財團法人高雄市私立基督教山地育幼院" 26.72 1.90504969493162 22
"npo0117" "社團法人中華民國圓通人文關懷協會" 26.72 1.90504969493162 22
"npo0118" "財團法人水源地文教基金會" 26.72 1.90504969493162 22
"npo0121" "社團法人高雄市築夢關懷協會" 26.72 1.90504969493162 22
"npo0123" "財團法人天主教臺南市私立蘆葦啟智中心" 26.72 1.90504969493162 22
"npo0128" "社團法人原住民深耕德瑪汶協會" 26.72 1.90504969493162 22
"npo0129" "社團法人台灣兒少生涯教育促進會" 26.72 1.90504969493162 22
"npo0130" "台灣世界展望會" 26.72 1.90504969493162 22
"npo0133" "社團法人台灣結節硬化症協會" 26.72 1.90504969493162 22
"npo0139" "真佛覺心社會福利慈善基金會" 26.72 1.90504969493162 22
"npo0141" "社團法人高雄市芬多精身心障礙關懷保護協會" 26.72 1.90504969493162 22
"npo0142" "財團法人台南市私立吾愛吾家養護中心" 26.72 1.90504969493162 22
"npo0159" "財團法人永齡社會福利慈善事業基金會" 26.72 1.90504969493162 22
"npo0165" "財團法人臺北市雍展社會福利慈善基金會" 26.72 1.90504969493162 22
"npo0167" "財團法人台北市私立恆安老人養護中心" 26.72 1.90504969493162 22
"npo0170" "社團法人中華民國老人福祉協會" 26.72 1.90504969493162 22
"npo0172" "財團法人杏陵醫學基金會" 26.72 1.90504969493162 22
"npo0176" "財團法人法鼓山佛教基金會" 26.72 1.90504969493162 22
"npo0185" "台灣安寧緩和護理學會" 26.72 1.90504969493162 22
"npo0190" "社團法人臺北市個別化早療推廣協會" 26.72 1.90504969493162 22
"npo0191" "社團法人宜蘭縣非營利組織聯盟" 26.72 1.90504969493162 22
"npo0202" "社團法人中華公益採購協會" 26.72 1.90504969493162 22
"npo0204" "台灣風信子精神障礙者權益促進協會" 26.72 1.90504969493162 22
"npo0209" "社團法人中華溝通分析協會" 26.72 1.90504969493162 22
