"npo.id","year","n.page"
"1246","2012","2"
"1246","2013","2"
"1246","2014","2"
"1251","2006","2"
"1251","2007","3"
"1251","2008","3"
"1251","2009","1"
"1251","2010","3"
"1251","2011","2"
"1251","2012","6"
"1251","2013","3"
"1251","2014","4"
"1295","2013","12"
"1295","2014","21"
"1309","2013","2"
"1309","2014","2"
"1314","2008","4"
"1314","2009","3"
"1314","2010","3"
"1314","2011","3"
"1314","2012","3"
"1314","2013","5"
"1314","2014","4"
"1370","2006","4"
"1370","2007","3"
"1370","2008","4"
"1370","2009","4"
"1370","2010","4"
"1370","2011","10"
"1370","2012","10"
"1370","2013","11"
"1370","2014","12"
"1401","2009","2"
"1401","2010","3"
"1401","2011","3"
"1401","2012","4"
"1401","2013","3"
"1401","2014","2"
"1406","2012","12"
"1406","2013","13"
"1406","2014","12"
"1409","2012","2"
"1409","2013","3"
"1409","2014","2"
"1419","2010","4"
"1419","2011","3"
"1419","2012","13"
"1419","2013","11"
"1419","2014","16"
"1420","2013","11"
"1420","2014","11"
"1421","2006","11"
"1421","2007","11"
"1421","2008","3"
"1421","2009","5"
"1421","2010","3"
"1421","2011","10"
"1421","2012","10"
"1421","2013","10"
"1421","2014","11"
"1431","2006","28"
"1431","2007","2"
"1431","2008","1"
"1431","2009","2"
"1431","2010","7"
"1431","2011","16"
"1431","2012","39"
"1431","2013","12"
"1431","2014","40"
"1433","2007","17"
"1433","2008","19"
"1433","2009","17"
"1433","2010","17"
"1433","2011","18"
"1433","2012","17"
"1433","2013","20"
"1433","2014","19"
"1474","2008","3"
"1474","2009","4"
"1474","2010","2"
"1474","2011","15"
"1474","2012","31"
"1474","2013","32"
"1474","2014","29"
"1502","2012","9"
"1502","2013","12"
"1502","2014","11"
"1505","2011","13"
"1505","2012","18"
"1538","2012","13"
"1538","2013","13"
"1538","2014","20"
"1542","2008","8"
"1542","2009","2"
"1542","2010","2"
"1542","2011","2"
"1542","2012","3"
"1542","2013","3"
"1560","2014","18"
"1569","2011","8"
"1569","2012","9"
"1569","2013","9"
"1569","2014","9"
